% time	cellId	IMSI	RNTI	rsrp	sinr
2.82921	1	3	1	6.39433e-11	2.48928
2.82921	1	4	3	6.46819e-11	2.56628
2.82921	1	5	4	6.5336e-11	2.64139
2.83021	1	1	2	6.22342e-11	2.33096
2.83021	1	2	6	6.31235e-11	2.41055
2.83021	1	3	1	6.39411e-11	2.48906
2.83021	1	4	3	6.46802e-11	2.5661
2.83021	1	5	4	6.53347e-11	2.64123
2.83121	1	1	2	6.22309e-11	2.33068
2.83121	1	2	6	6.31208e-11	2.4103
2.83121	1	3	1	6.39389e-11	2.48884
2.83121	1	4	3	6.46785e-11	2.56591
2.83121	1	5	4	6.53335e-11	2.64107
2.83221	1	1	2	6.22277e-11	2.3304
2.83221	1	2	6	6.31181e-11	2.41004
2.83221	1	3	1	6.39366e-11	2.48862
2.83221	1	4	3	6.46767e-11	2.56572
2.83221	1	5	4	6.53322e-11	2.64092
2.83321	1	1	2	6.22244e-11	2.33012
2.83321	1	2	6	6.31154e-11	2.40979
2.83321	1	3	1	6.39344e-11	2.4884
2.83321	1	4	3	6.4675e-11	2.56553
2.83321	1	5	4	6.53309e-11	2.64076
2.83421	1	1	2	6.22212e-11	2.32983
2.83421	1	2	6	6.31126e-11	2.40954
2.83421	1	3	1	6.39322e-11	2.48818
2.83421	1	4	3	6.46733e-11	2.56534
2.83421	1	5	4	6.53296e-11	2.6406
2.83521	1	1	2	6.22179e-11	2.32955
2.83521	1	2	6	6.31099e-11	2.40929
2.83521	1	3	1	6.393e-11	2.48796
2.83521	1	4	3	6.46716e-11	2.56515
2.83521	1	5	4	6.53283e-11	2.64045
2.83621	1	1	2	6.22146e-11	2.32927
2.83621	1	2	6	6.31072e-11	2.40904
2.83621	1	3	1	6.39278e-11	2.48774
2.83621	1	4	3	6.46698e-11	2.56497
2.83621	1	5	4	6.5327e-11	2.64029
2.83721	1	1	2	6.22114e-11	2.32898
2.83721	1	2	6	6.31045e-11	2.40879
2.83721	1	3	1	6.39256e-11	2.48752
2.83721	1	4	3	6.46681e-11	2.56478
2.83721	1	5	4	6.53257e-11	2.64013
2.83821	1	1	2	6.22081e-11	2.3287
2.83821	1	2	6	6.31018e-11	2.40853
2.83821	1	3	1	6.39234e-11	2.4873
2.83821	1	4	3	6.46664e-11	2.56459
2.83821	1	5	4	6.53244e-11	2.63998
2.83921	1	1	2	6.22048e-11	2.32842
2.83921	1	2	6	6.3099e-11	2.40828
2.83921	1	3	1	6.39212e-11	2.48708
2.83921	1	4	3	6.46646e-11	2.5644
2.83921	1	5	4	6.53231e-11	2.63982
2.84021	1	1	2	6.22016e-11	2.32814
2.84021	1	2	6	6.30963e-11	2.40803
2.84021	1	3	1	6.3919e-11	2.48686
2.84021	1	4	3	6.46629e-11	2.56421
2.84021	1	5	4	6.53218e-11	2.63966
2.84121	1	1	2	6.21983e-11	2.32785
2.84121	1	2	6	6.30936e-11	2.40778
2.84121	1	3	1	6.39168e-11	2.48664
2.84121	1	4	3	6.46612e-11	2.56402
2.84121	1	5	4	6.53205e-11	2.6395
2.84221	1	1	2	6.2195e-11	2.32757
2.84221	1	2	6	6.30909e-11	2.40753
2.84221	1	3	1	6.39146e-11	2.48642
2.84221	1	4	3	6.46594e-11	2.56384
2.84221	1	5	4	6.53192e-11	2.63935
2.84321	1	1	2	6.21917e-11	2.32729
2.84321	1	2	6	6.30881e-11	2.40728
2.84321	1	3	1	6.39124e-11	2.4862
2.84321	1	4	3	6.46577e-11	2.56365
2.84321	1	5	4	6.53179e-11	2.63919
2.84421	1	1	2	6.21885e-11	2.32701
2.84421	1	2	6	6.30854e-11	2.40702
2.84421	1	3	1	6.39101e-11	2.48598
2.84421	1	4	3	6.4656e-11	2.56346
